Inventarisnr.,Inv.srt,Omschrijving,Straat,Thv,X-Coord.,Y-Coord.,Deelgem.,Status,Mutdatum,Door user
FT281,FT,Fietstrommel,SCHIEKD,764,51.92826843,4.474070072,Noord,A,13/07/2010,BEHEER-STZ
FT282,FT,Fietstrommel,SCHIEKD,42,51.93051147,4.470600128,Noord,A,13/07/2010,STREPE
FT283,FT,Fietstrommel,NOORDSNGL,160,51.93159103,4.475359917,Noord,A,13/07/2010,BEHEER-STZ
FT284,FT,Fietstrommel,BERGWG,270,51.93347168,4.473219872,Noord,A,07/06/2009,Conversie
FT285,FT,Fietstrommel,BERGWG,265,51.93434143,4.474520206,Noord,A,13/07/2010,BEHEER-STZ
FT286,FT,Fietstrommel,BESEMERSTR,12,51.93320084,4.459400177,Noord,A,13/07/2010,STREPE
FT287,FT,Fietstrommel,G SCHOLTENSTR,80,51.93418121,4.477670193,Noord,A,07/06/2009,Conversie
FT288,FT,Fietstrommel,WILLEBRORDUSSTR,168,51.93360138,4.471610069,Noord,A,07/06/2009,Conversie
FT289,FT,Fietstrommel,BERGSNGL,133,51.93320084,4.471389771,Noord,A,07/06/2009,Conversie
FT29,FT,Fietstrommel,ROCHUSSENSTR,101,51.91278839,4.466810226,Centrum,A,06/07/2010,STREPE
FT290,FT,Fietstrommel,DE S LOHMANLN,90,51.93611145,4.467450142,Noord,A,13/07/2010,STREPE
FT291,FT,Fietstrommel,BERGSNGL,96,51.93725967,4.469799995,Noord,A,07/06/2009,Conversie
FT292,FT,Fietstrommel,GORDELWG,133,51.93804169,4.465079784,Noord,A,13/07/2010,STREPE
FT293,FT,Fietstrommel,GORDELWG,133,51.93804169,4.465089798,Noord,A,07/06/2009,Conversie
FT294,FT,Fietstrommel,GORDELWG,133,51.93804169,4.465099812,Noord,A,13/07/2010,STREPE
FT295,FT,Fietstrommel,GORDELWG,123,51.93875885,4.467020035,Noord,A,13/07/2010,BEHEER-STZ
FT296,FT,Fietstrommel,GORDELWG,123,51.93875885,4.467030048,Noord,A,13/07/2010,STREPE
FT297,FT,Fietstrommel,GORDELWG,123,51.93875885,4.467040062,Noord,A,07/06/2009,Conversie
FT298,FT,Fietstrommel,BERKELSELN, 89/91,51.9375,4.470610142,Noord,A,07/06/2009,Conversie
FT299,FT,Fietstrommel,RODENRYSELN,37,51.93746948,4.470749855,Noord,A,13/07/2010,BEHEER-STZ
FT3,FT,Fietstrommel,ESSENBURGSNGL,15A,51.92287827,4.460649967,Delfshaven,A,06/07/2010,STREPE
FT30,FT,Fietstrommel,ROCHUSSENSTR,107,51.91254044,4.466030121,Centrum,A,07/06/2009,Conversie
FT300,FT,Fietstrommel,BERKELSELN,44,51.93777084,4.471789837,Noord,A,13/07/2010,STREPE
FT301,FT,Fietstrommel,GORDELWG,104,51.93938065,4.471210003,Noord,A,13/07/2010,BEHEER-STZ
FT302,FT,Fietstrommel,GORDELWG,104,51.93938065,4.471220016,Noord,A,07/06/2009,Conversie
FT303,FT,Fietstrommel,GORDELWG,104,51.93938065,4.47123003,Noord,A,07/06/2009,Conversie
FT304,FT,Fietstrommel,DELFGAAUWSTR,29,51.93896103,4.472740173,Noord,A,13/07/2010,STREPE
